userIdInt,recommendations
1,"[{'3229': 4.57}, {'145022': 4.4}, {'30747': 3.82}, {'26219': 3.79}, {'4302': 3.76}, {'61937': 3.7}, {'39410': 3.64}, {'93193': 3.63}, {'33264': 3.49}, {'34246': 3.47}, {'146684': 3.46}, {'31770': 3.45}, {'26757': 3.38}, {'89961': 3.34}, {'8725': 3.32}]"
2,"[{'189325': 4.26}, {'144448': 4.08}, {'43289': 3.76}, {'142857': 3.69}, {'86096': 3.61}, {'86541': 3.61}, {'142861': 3.58}, {'133869': 3.58}, {'40752': 3.57}, {'160988': 3.52}, {'108518': 3.39}, {'59295': 3.38}, {'158322': 3.37}, {'6969': 3.28}, {'145022': 3.23}]"
3,"[{'26761': 4.64}, {'156783': 4.46}, {'4538': 4.34}, {'49225': 4.33}, {'145022': 4.3}, {'165069': 4.21}, {'143349': 4.21}, {'26228': 4.06}, {'192579': 4.04}, {'134182': 4.0}, {'142857': 4.0}, {'76158': 3.99}, {'171749': 3.98}, {'63329': 3.97}, {'26096': 3.96}]"
4,"[{'189325': 3.93}, {'34246': 3.76}, {'9019': 3.72}, {'145022': 3.7}, {'89961': 3.44}, {'27856': 3.38}, {'132569': 3.27}, {'26117': 3.23}, {'173535': 3.22}, {'26219': 3.21}, {'8142': 3.2}, {'141702': 3.19}, {'47277': 3.17}, {'53453': 3.15}, {'84122': 3.15}]"
5,"[{'145022': 3.33}, {'189325': 3.14}, {'170939': 2.57}, {'79236': 2.54}, {'60880': 2.54}, {'62206': 2.54}, {'182993': 2.51}, {'112907': 2.48}, {'6342': 2.47}, {'1664': 2.46}, {'117849': 2.46}, {'132358': 2.46}, {'135979': 2.44}, {'146684': 2.44}, {'72899': 2.41}]"
6,"[{'145022': 5.0}, {'1555': 4.3}, {'192579': 4.18}, {'140150': 4.14}, {'7423': 4.05}, {'145994': 4.04}, {'145384': 4.01}, {'165163': 4.0}, {'105364': 3.98}, {'82320': 3.97}, {'33861': 3.88}, {'189325': 3.71}, {'114852': 3.7}, {'30701': 3.65}, {'25926': 3.64}]"
7,"[{'6511': 5.0}, {'108518': 5.0}, {'26761': 5.0}, {'46194': 5.1}, {'91035': 5.06}, {'5778': 4.83}, {'7742': 4.82}, {'136445': 4.77}, {'98697': 4.71}, {'144448': 4.64}, {'38881': 4.43}, {'167570': 4.36}, {'189325': 4.32}, {'117364': 4.3}, {'165635': 4.25}]"
8,"[{'26761': 4.53}, {'189325': 4.24}, {'145022': 4.06}, {'142857': 4.02}, {'108518': 3.98}, {'42783': 3.61}, {'144448': 3.61}, {'7388': 3.58}, {'7174': 3.56}, {'4538': 3.55}, {'26803': 3.51}, {'26593': 3.46}, {'6511': 3.42}, {'133869': 3.42}, {'141826': 3.37}]"
9,"[{'170939': 4.12}, {'162726': 3.9}, {'1052': 3.63}, {'96634': 3.55}, {'146360': 3.51}, {'140769': 3.41}, {'132358': 3.36}, {'33832': 3.33}, {'71116': 3.29}, {'146684': 3.27}, {'5216': 3.26}, {'99030': 3.25}, {'81665': 3.24}, {'117849': 3.24}, {'27647': 3.23}]"
10,"[{'145022': 5.02}, {'189325': 3.71}, {'83506': 3.05}, {'117310': 3.04}, {'142857': 3.04}, {'105130': 2.99}, {'98126': 2.87}, {'31894': 2.87}, {'30721': 2.85}, {'140150': 2.78}, {'62206': 2.78}, {'60880': 2.78}, {'79236': 2.78}, {'115973': 2.76}, {'68612': 2.75}]"
11,"[{'189325': 3.36}, {'145022': 3.18}, {'145994': 2.96}, {'167964': 2.89}, {'188187': 2.77}, {'105364': 2.75}, {'8462': 2.74}, {'79236': 2.68}, {'60880': 2.68}, {'62206': 2.68}, {'560': 2.66}, {'35386': 2.58}, {'172455': 2.57}, {'58933': 2.56}, {'66302': 2.56}]"
12,"[{'96634': 2.69}, {'144448': 2.64}, {'146684': 2.61}, {'26417': 2.52}, {'89632': 2.5}, {'54171': 2.49}, {'91035': 2.47}, {'158322': 2.46}, {'107117': 2.44}, {'6293': 2.44}, {'55106': 2.42}, {'107737': 2.38}, {'51167': 2.37}, {'130618': 2.35}, {'68028': 2.35}]"
13,"[{'43289': 5.23}, {'40752': 5.2}, {'154816': 4.84}, {'5783': 4.59}, {'6004': 4.51}, {'5939': 4.47}, {'67812': 4.44}, {'61037': 4.42}, {'89584': 4.41}, {'86096': 4.23}, {'27320': 4.2}, {'58870': 4.19}, {'101893': 4.16}, {'143239': 4.12}, {'174487': 4.09}]"
14,"[{'189325': 3.45}, {'145022': 3.06}, {'142857': 2.63}, {'62206': 2.57}, {'60880': 2.57}, {'79236': 2.57}, {'7343': 2.46}, {'84122': 2.4}, {'27093': 2.4}, {'91970': 2.37}, {'560': 2.36}, {'5842': 2.36}, {'76758': 2.35}, {'173275': 2.35}, {'98595': 2.33}]"
15,"[{'145022': 3.77}, {'189325': 3.77}, {'142857': 2.79}, {'79236': 2.78}, {'62206': 2.78}, {'60880': 2.78}, {'185951': 2.58}, {'72899': 2.56}, {'158832': 2.53}, {'105130': 2.52}, {'142861': 2.51}, {'92118': 2.51}, {'80478': 2.5}, {'175217': 2.5}, {'77344': 2.5}]"
16,"[{'145022': 3.94}, {'189325': 3.57}, {'58870': 3.49}, {'55856': 3.47}, {'71027': 3.39}, {'175625': 3.38}, {'192579': 3.36}, {'76158': 3.32}, {'155625': 3.31}, {'101262': 3.29}, {'27320': 3.29}, {'61037': 3.22}, {'82591': 3.18}, {'106094': 3.16}, {'113048': 3.13}]"
17,"[{'70175': 4.35}, {'154816': 3.76}, {'49668': 3.76}, {'89139': 3.7}, {'146327': 3.65}, {'59107': 3.56}, {'189325': 3.54}, {'170591': 3.5}, {'143239': 3.45}, {'8007': 3.44}, {'151767': 3.37}, {'27856': 3.36}, {'171751': 3.35}, {'96004': 3.35}, {'169288': 3.34}]"
18,"[{'145022': 4.5}, {'189325': 4.0}, {'79236': 2.96}, {'60880': 2.96}, {'62206': 2.96}, {'142857': 2.96}, {'192579': 2.79}, {'71027': 2.79}, {'4538': 2.76}, {'27093': 2.72}, {'92118': 2.72}, {'72899': 2.71}, {'158832': 2.7}, {'190089': 2.69}, {'91970': 2.69}]"
19,"[{'189325': 3.63}, {'145022': 3.06}, {'142857': 2.94}, {'86096': 2.66}, {'62206': 2.66}, {'60880': 2.66}, {'79236': 2.66}, {'142861': 2.61}, {'40752': 2.59}, {'32375': 2.55}, {'156783': 2.52}, {'76158': 2.5}, {'43289': 2.5}, {'26761': 2.48}, {'26835': 2.45}]"
20,"[{'26157': 4.76}, {'142857': 4.48}, {'108518': 4.35}, {'58324': 4.3}, {'144448': 4.24}, {'107117': 4.17}, {'134182': 4.07}, {'32811': 3.99}, {'6258': 3.97}, {'141668': 3.94}, {'85298': 3.93}, {'27841': 3.92}, {'132632': 3.87}, {'102396': 3.85}, {'6312': 3.81}]"
21,"[{'145022': 4.83}, {'3229': 4.22}, {'189325': 3.96}, {'32381': 3.84}, {'31032': 3.7}, {'6121': 3.57}, {'26141': 3.52}, {'33487': 3.5}, {'83506': 3.5}, {'42385': 3.46}, {'30747': 3.45}, {'33264': 3.38}, {'151765': 3.38}, {'5982': 3.36}, {'152067': 3.34}]"
22,"[{'6563': 4.85}, {'170959': 4.74}, {'1652': 4.53}, {'127192': 4.51}, {'53349': 4.49}, {'166777': 4.41}, {'48167': 4.4}, {'108715': 4.3}, {'2775': 4.29}, {'67957': 4.2}, {'42740': 4.15}, {'27513': 4.11}, {'7890': 4.11}, {'71810': 4.08}, {'174219': 4.06}]"
23,"[{'82591': 5.0}, {'55298': 5.3}, {'77841': 4.92}, {'133716': 4.9}, {'111387': 4.87}, {'140341': 4.8}, {'39244': 4.78}, {'172009': 4.72}, {'47642': 4.71}, {'42385': 4.61}, {'97395': 4.54}, {'2569': 4.5}, {'31894': 4.49}, {'94900': 4.47}, {'60135': 4.45}]"
24,"[{'52865': 4.45}, {'151767': 3.82}, {'5467': 3.78}, {'58870': 3.71}, {'89584': 3.66}, {'82591': 3.62}, {'27320': 3.53}, {'100157': 3.48}, {'142158': 3.46}, {'107368': 3.46}, {'86057': 3.39}, {'70175': 3.26}, {'148108': 3.26}, {'164163': 3.26}, {'136343': 3.26}]"
25,"[{'7341': 5.0}, {'26761': 5.0}, {'145028': 5.0}, {'172009': 5.0}, {'2216': 5.0}, {'111387': 5.0}, {'156783': 5.0}, {'43897': 5.0}, {'82591': 5.35}, {'60135': 5.33}, {'985': 5.31}, {'4244': 5.25}, {'2569': 5.18}, {'73101': 5.17}, {'1817': 5.02}]"
26,"[{'8867': 4.56}, {'40752': 4.47}, {'96004': 4.34}, {'189325': 4.24}, {'2216': 4.19}, {'124476': 4.17}, {'26966': 4.08}, {'67812': 3.97}, {'101893': 3.97}, {'6121': 3.97}, {'33264': 3.95}, {'32649': 3.91}, {'2591': 3.9}, {'77910': 3.75}, {'157270': 3.75}]"
27,"[{'145022': 4.89}, {'145140': 3.74}, {'98126': 3.72}, {'131252': 3.61}, {'189325': 3.58}, {'142857': 3.57}, {'8238': 3.46}, {'82591': 3.42}, {'47117': 3.41}, {'118252': 3.36}, {'97395': 3.28}, {'49668': 3.26}, {'171749': 3.24}, {'34469': 3.24}, {'182913': 3.23}]"
28,"[{'136445': 4.41}, {'189325': 4.14}, {'9019': 4.05}, {'34246': 4.03}, {'173351': 3.95}, {'4689': 3.88}, {'27856': 3.85}, {'1664': 3.78}, {'84160': 3.77}, {'46194': 3.74}, {'49642': 3.72}, {'7146': 3.71}, {'89217': 3.7}, {'27734': 3.68}, {'68835': 3.64}]"
29,"[{'27646': 5.0}, {'170959': 4.71}, {'112903': 4.65}, {'6342': 4.52}, {'165343': 4.35}, {'49225': 4.32}, {'130': 4.32}, {'180737': 4.3}, {'136249': 4.3}, {'140769': 4.29}, {'42740': 4.27}, {'27658': 4.26}, {'127192': 4.24}, {'8674': 4.22}, {'77841': 4.22}]"
30,"[{'9019': 4.54}, {'153756': 4.38}, {'114895': 4.36}, {'6241': 4.25}, {'33136': 4.15}, {'89961': 4.09}, {'27217': 4.08}, {'33264': 3.99}, {'114888': 3.89}, {'26757': 3.88}, {'189325': 3.83}, {'70992': 3.8}, {'48389': 3.74}, {'145022': 3.71}, {'7165': 3.67}]"
31,"[{'192579': 3.9}, {'145022': 3.79}, {'84230': 3.69}, {'6342': 3.62}, {'171749': 3.6}, {'116839': 3.57}, {'140769': 3.51}, {'560': 3.42}, {'188187': 3.41}, {'127188': 3.33}, {'7890': 3.29}, {'70229': 3.28}, {'185951': 3.27}, {'154941': 3.26}, {'156783': 3.25}]"
32,"[{'39410': 3.59}, {'145022': 3.45}, {'190089': 3.42}, {'189325': 3.41}, {'137759': 3.36}, {'68835': 3.35}, {'7928': 3.29}, {'127188': 3.26}, {'53453': 3.15}, {'34246': 3.15}, {'25797': 3.08}, {'65315': 3.08}, {'39516': 3.03}, {'1555': 3.02}, {'26219': 3.02}]"
33,"[{'33410': 0.9}, {'106158': 0.86}, {'135625': 0.84}, {'42740': 0.84}, {'2768': 0.84}, {'84799': 0.83}, {'65359': 0.82}, {'27320': 0.81}, {'91490': 0.81}, {'5727': 0.81}, {'4556': 0.8}, {'6127': 0.79}, {'5783': 0.78}, {'5455': 0.78}, {'6804': 0.78}]"
34,"[{'60135': 4.05}, {'7879': 3.98}, {'985': 3.97}, {'5783': 3.96}, {'89862': 3.91}, {'33410': 3.63}, {'121135': 3.48}, {'77841': 3.45}, {'61264': 3.42}, {'26717': 3.4}, {'49359': 3.34}, {'31032': 3.34}, {'6670': 3.34}, {'155285': 3.34}, {'34411': 3.32}]"
35,"[{'189325': 4.25}, {'49668': 3.29}, {'173351': 3.24}, {'5037': 3.23}, {'96004': 3.15}, {'8238': 3.15}, {'2591': 3.14}, {'145022': 3.13}, {'1514': 3.02}, {'143239': 3.02}, {'7343': 2.98}, {'6121': 2.97}, {'26809': 2.94}, {'985': 2.9}, {'84122': 2.84}]"
